x y z Bx By Bz
-7.5 -0.357143 1.07143 1.01964e-07 7.89595e-09 -2.34421e-08
-7.5 -0.357143 1.78571 9.06903e-08 7.2582e-09 -3.57073e-08
-7.5 -0.357143 2.5 7.62297e-08 6.39007e-09 -4.37483e-08
-7.5 -0.357143 3.21429 6.07691e-08 5.40891e-09 -4.73251e-08
-7.5 -0.357143 3.92857 4.61902e-08 4.4291e-09 -4.70793e-08
-7.5 -0.357143 4.64286 3.36793e-08 3.53606e-09 -4.41544e-08
-7.5 -0.357143 5.35714 2.36769e-08 2.77528e-09 -3.97474e-08
-7.5 -0.357143 6.07143 1.60811e-08 2.15742e-09 -3.48103e-08
-7.5 -0.357143 6.78571 1.05168e-08 1.6712e-09 -2.99593e-08
-7.5 -0.357143 7.5 6.53977e-09 1.29569e-09 -2.55217e-08
-7.5 0.357143 -7.5 6.53977e-09 -1.29569e-09 2.55217e-08
-7.5 0.357143 -6.78571 1.05168e-08 -1.6712e-09 2.99593e-08
-7.5 0.357143 -6.07143 1.60811e-08 -2.15742e-09 3.48103e-08
-7.5 0.357143 -5.35714 2.36769e-08 -2.77528e-09 3.97474e-08
-7.5 0.357143 -4.64286 3.36793e-08 -3.53606e-09 4.41544e-08
-7.5 0.357143 -3.92857 4.61902e-08 -4.4291e-09 4.70793e-08
-7.5 0.357143 -3.21429 6.07691e-08 -5.40891e-09 4.73251e-08
-7.5 0.357143 -2.5 7.62297e-08 -6.39007e-09 4.37483e-08
-7.5 0.357143 -1.78571 9.06903e-08 -7.2582e-09 3.57073e-08
-7.5 0.357143 -1.07143 1.01964e-07 -7.89595e-09 2.34421e-08
-7.5 0.357143 -0.357143 1.08147e-07 -8.212e-09 8.16056e-09
-7.5 0.357143 0.357143 1.08147e-07 -8.16056e-09 -8.212e-09
-7.5 0.357143 1.07143 1.01964e-07 -7.7485e-09 -2.34912e-08
-7.5 0.357143 1.78571 9.06903e-08 -7.0337e-09 -3.57522e-08
-7.5 0.357143 2.5 7.62297e-08 -6.11507e-09 -4.37876e-08
-7.5 0.357143 3.21429 6.07691e-08 -5.11145e-09 -4.73581e-08
-7.5 0.357143 3.92857 4.61902e-08 -4.13321e-09 -4.71062e-08
-7.5 0.357143 4.64286 3.36793e-08 -3.25857e-09 -4.41758e-08
-7.5 0.357143 5.35714 2.36769e-08 -2.52549e-09 -3.97641e-08
-7.5 0.357143 6.07143 1.60811e-08 -1.93866e-09 -3.48231e-08
-7.5 0.357143 6.78571 1.05168e-08 -1.48293e-09 -2.99693e-08
-7.5 0.357143 7.5 6.53977e-09 -1.13531e-09 -2.55293e-08
-7.5 1.07143 -7.5 6.22982e-09 -3.6364e-09 2.48959e-08
-7.5 1.07143 -6.78571 1.00336e-08 -4.69508e-09 2.9141e-08
-7.5 1.07143 -6.07143 1.53346e-08 -6.06594e-09 3.37537e-08
-7.5 1.07143 -5.35714 2.25414e-08 -7.8086e-09 3.84151e-08
-7.5 1.07143 -4.64286 3.19942e-08 -9.95688e-09 4.25361e-08
-7.5 1.07143 -3.92857 4.37782e-08 -1.24851e-08 4.52186e-08
-7.5 1.07143 -3.21429 5.74777e-08 -1.52722e-08 4.53412e-08
-7.5 1.07143 -2.5 7.19893e-08 -1.80851e-08 4.18351e-08
-7.5 1.07143 -1.78571 8.55622e-08 -2.06052e-08 3.40988e-08
-7.5 1.07143 -1.07143 9.61511e-08 -2.24973e-08 2.23564e-08
-7.5 1.07143 -0.357143 1.01964e-07 -2.34912e-08 7.7485e-09
-7.5 1.07143 0.357143 1.01964e-07 -2.34421e-08 -7.89595e-09
-7.5 1.07143 1.07143 9.61511e-08 -2.23564e-08 -2.24973e-08
-7.5 1.07143 1.78571 8.55622e-08 -2.03906e-08 -3.42276e-08
-7.5 1.07143 2.5 7.19893e-08 -1.78219e-08 -4.19479e-08
-7.5 1.07143 3.21429 5.74777e-08 -1.4987e-08 -4.54363e-08
-7.5 1.07143 3.92857 4.37782e-08 -1.22007e-08 -4.52962e-08
-7.5 1.07143 4.64286 3.19942e-08 -9.68942e-09 -4.25978e-08
-7.5 1.07143 5.35714 2.25414e-08 -7.56708e-09 -3.84634e-08
-7.5 1.07143 6.07143 1.53346e-08 -5.85374e-09 -3.37912e-08
-7.5 1.07143 6.78571 1.00336e-08 -4.51189e-09 -2.91699e-08
-7.5 1.07143 7.5 6.22982e-09 -3.4799e-09 -2.49182e-08
-7.5 1.78571 -7.5 5.64792e-09 -5.72521e-09 2.3715e-08
-7.5 1.78571 -6.78571 9.13145e-09 -7.35735e-09 2.76053e-08
-7.5 1.78571 -6.07143 1.39492e-08 -9.45643e-09 3.17827e-08
-7.5 1.78571 -5.35714 2.04465e-08 -1.21069e-08 3.59438e-08
-7.5 1.78571 -4.64286 2.89027e-08 -1.53544e-08 3.95501e-08
-7.5 1.78571 -3.92857 3.93728e-08 -1.91586e-08 4.17998e-08
-7.5 1.78571 -3.21429 5.14833e-08 -2.3342e-08 4.17065e-08
-7.5 1.78571 -2.5 6.42749e-08 -2.75655e-08 3.83365e-08
-7.5 1.78571 -1.78571 7.62297e-08 -3.13611e-08 3.11646e-08
-7.5 1.78571 -1.07143 8.55622e-08 -3.42276e-08 2.03906e-08
-7.5 1.78571 -0.357143 9.06903e-08 -3.57522e-08 7.0337e-09
-7.5 1.78571 0.357143 9.06903e-08 -3.57073e-08 -7.2582e-09
-7.5 1.78571 1.07143 8.55622e-08 -3.40988e-08 -2.06052e-08
-7.5 1.78571 1.78571 7.62297e-08 -3.11646e-08 -3.13611e-08
-7.5 1.78571 2.5 6.42749e-08 -2.73241e-08 -3.85089e-08
-7.5 1.78571 3.21429 5.14833e-08 -2.30795e-08 -4.18523e-08
-7.5 1.78571 3.92857 3.93728e-08 -1.88956e-08 -4.19193e-08
-7.5 1.78571 4.64286 2.89027e-08 -1.51056e-08 -3.96458e-08
-7.5 1.78571 5.35714 2.04465e-08 -1.18808e-08 -3.60191e-08
-7.5 1.78571 6.07143 1.39492e-08 -9.25655e-09 -3.18415e-08
-7.5 1.78571 6.78571 9.13145e-09 -7.18376e-09 -2.7651e-08
-7.5 1.78571 7.5 5.64792e-09 -5.5761e-09 -2.37505e-08
-7.5 2.5 -7.5 4.86115e-09 -7.441e-09 2.20914e-08
-7.5 2.5 -6.78571 7.92228e-09 -9.49063e-09 2.55129e-08
-7.5 2.5 -6.07143 1.211e-08 -1.20987e-08 2.91224e-08
-7.5 2.5 -5.35714 1.76928e-08 -1.53566e-08 3.26391e-08
-7.5 2.5 -4.64286 2.48763e-08 -1.93084e-08 3.55902e-08
-7.5 2.5 -3.92857 3.36793e-08 -2.38986e-08 3.72957e-08
-7.5 2.5 -3.21429 4.37782e-08 -2.89165e-08 3.69383e-08
-7.5 2.5 -2.5 5.43868e-08 -3.39681e-08 3.37553e-08
-7.5 2.5 -1.78571 6.42749e-08 -3.85089e-08 2.73241e-08
-7.5 2.5 -1.07143 7.19893e-08 -4.19479e-08 1.78219e-08
-7.5 2.5 -0.357143 7.62297e-08 -4.37876e-08 6.11507e-09
-7.5 2.5 0.357143 7.62297e-08 -4.37483e-08 -6.39007e-09
-7.5 2.5 1.07143 7.19893e-08 -4.18351e-08 -1.80851e-08
-7.5 2.5 1.78571 6.42749e-08 -3.83365e-08 -2.75655e-08
-7.5 2.5 2.5 5.43868e-08 -3.37553e-08 -3.39681e-08
-7.5 2.5 3.21429 4.37782e-08 -2.86838e-08 -3.71193e-08
-7.5 2.5 3.92857 3.36793e-08 -2.36638e-08 -3.74452e-08
-7.5 2.5 4.64286 2.48763e-08 -1.90844e-08 -3.57108e-08
-7.5 2.5 5.35714 1.76928e-08 -1.51513e-08 -3.27349e-08
-7.5 2.5 6.07143 1.211e-08 -1.19155e-08 -2.91978e-08
-7.5 2.5 6.78571 7.92228e-09 -9.33015e-09 -2.55721e-08
-7.5 2.5 7.5 4.86115e-09 -7.30205e-09 -2.21377e-08
-7.5 3.21429 -7.5 3.95121e-09 -8.71719e-09 2.01649e-08
-7.5 3.21429 -6.78571 6.53977e-09 -1.1012e-08 2.30601e-08
-7.5 3.21429 -6.07143 1.00336e-08 -1.38924e-08 2.6043e-08
-7.5 3.21429 -5.35714 1.46247e-08 -1.74405e-08 2.88617e-08
-7.5 3.21429 -4.64286 2.04465e-08 -2.16868e-08 3.11161e-08
-7.5 3.21429 -3.92857 2.74845e-08 -2.65606e-08 3.22556e-08
-7.5 3.21429 -3.21429 3.54659e-08 -3.18386e-08 3.16392e-08
-7.5 3.21429 -2.5 4.37782e-08 -3.71193e-08 2.86838e-08
-7.5 3.21429 -1.78571 5.14833e-08 -4.18523e-08 2.30795e-08
-7.5 3.21429 -1.07143 5.74777e-08 -4.54363e-08 1.4987e-08
-7.5 3.21429 -0.357143 6.07691e-08 -4.73581e-08 5.11145e-09
-7.5 3.21429 0.357143 6.07691e-08 -4.73251e-08 -5.40891e-09
-7.5 3.21429 1.07143 5.74777e-08 -4.53412e-08 -1.52722e-08
-7.5 3.21429 1.78571 5.14833e-08 -4.17065e-08 -2.3342e-08
